NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,NAME_INCOME_TYPE,NAME_FAMILY_STATUS,DAYS_BIRTH,Label
Cash loans,F,N,1,675000.0,1800000.0,51588.0,Pensioner,Married,-4978,Invalid
Cash loans,M,Y,0,135000.0,343800.0,16155.0,Maternity leave,Married,-13521,Invalid
Cash loans,X,Y,0,270000.0,1067418.0,31338.0,Working,Civil marriage,-11198,Invalid
Cash loans,M,N,0,225000.0,167895.0,16605.0,Commercial associate,Single / not married,-11389,Valid
Cash loans,F,N,0,61586199.0,172692.0,16110.0,Pensioner,Civil marriage,-22892,Invalid
Cash loans,F,Y,0,67500.0,808650.0,23773.5,Pensioner,Separated,-5918,Invalid
Cash loans,M,Y,0,90000.0,634482.0,24714.0,Commercial associate,Married,-14798,Valid
Cash loans,F,Y,1,83926329.0,544491.0,17694.0,Commercial associate,Married,-16166,Invalid
Cash loans,M,N,5,162000.0,1207143.0,44865.0,Working,Married,-16139,Valid
Cash loans,M,N,1,135000.0,436032.0,13347.0,Maternity leave,Single / not married,-12353,Invalid
Cash loans,F,Y,1,112500.0,668484.0,24687.0,State servant,Married,-12707,Valid
Cash loans,M,Y,1,90000.0,677484.0,29970.0,Commercial associate,Married,-17534,Valid
Cash loans,F,N,0,90000.0,23790.0,14751.0,Working,Civil marriage,-8655,Invalid
abcd,F,Y,0,315000.0,577147.5,25551.0,State servant,Separated,-16705,Invalid
Cash loans,F,Y,0,117000.0,5171803.0,29925.0,Working,Married,-10602,Invalid
Cash loans,F,Y,0,443700.0,931500.0,39465.0,Working,Married,-14965,Valid
Cash loans,M,Y,1,135000.0,101880.0,11101.5,Working,Civil marriage,-9927,Valid
Cash loans,X,N,1,81000.0,675000.0,21906.0,Working,Married,-12876,Invalid
Cash loans,F,N,0,108000.0,106794.0,7353.0,Working,Married,-17735,Valid
abcd,F,Y,0,135000.0,450000.0,22018.5,Working,Married,-12837,Invalid
Cash loans,M,N,0,72000.0,760500.0,22234.5,Working,Married,-16519,Valid
Cash loans,F,N,1,270000.0,1223010.0,51948.0,Commercial associate,Married,-17526,Valid
Cash loans,F,N,0,94500.0,284400.0,16011.0,Working,Widow,-23831,Valid
Cash loans,M,Y,0,139500.0,942300.0,30397.5,Maternity leave,Civil marriage,-11174,Invalid
Cash loans,F,Y,0,135000.0,21942.0,25888.5,Pensioner,Widow,-22238,Invalid
Cash loans,M,Y,0,90000.0,177903.0,16447.5,Pensioner,Married,-5232,Invalid
abcd,F,N,3,126000.0,508495.5,25960.5,Working,Married,-12655,Invalid
Cash loans,F,Y,0,90000.0,284400.0,8928.0,Working,Civil marriage,-8414,Valid
Cash loans,M,Y,0,54000.0,50940.0,5089.5,Maternity leave,Widow,-12095,Invalid
Cash loans,M,Y,0,112500.0,269550.0,13891.5,Maternity leave,Single / not married,-12113,Invalid
Cash loans,F,Y,0,135000.0,999121.5,44140.5,State servant,Married,-20087,Valid
Cash loans,M,Y,0,135000.0,540000.0,17977.5,Maternity leave,Widow,-13594,Invalid
Cash loans,X,Y,0,270000.0,755190.0,33394.5,Pensioner,Married,-23467,Invalid
Cash loans,M,Y,3,157500.0,273636.0,18283.5,Working,Married,-10861,Valid
Cash loans,F,Y,2,99000.0,641529.0,20826.0,Working,Civil marriage,-14624,Valid
Revolving loans,M,Y,0,81000.0,270000.0,13500.0,Working,Married,-19502,Valid
Cash loans,M,N,2,252000.0,490495.5,26262.0,Commercial associate,Married,-15899,Valid
Revolving loans,M,Y,0,180000.0,337500.0,16875.0,Maternity leave,Civil marriage,-13842,Invalid
Cash loans,F,Y,1,72000.0,286704.0,12757.5,Commercial associate,Married,-18492,Valid
Cash loans,M,Y,0,72000.0,593010.0,19260.0,Maternity leave,Married,-12079,Invalid
Cash loans,F,Y,0,180000.0,490536.0,26262.0,Pensioner,Married,-4975,Invalid
Cash loans,M,N,0,85500.0,781920.0,23836.5,Pensioner,Married,-4773,Invalid
Cash loans,F,N,1,180000.0,297000.0,27238.5,Commercial associate,Single / not married,-13773,Valid
Cash loans,F,Y,0,126000.0,808650.0,26217.0,State servant,Married,-13037,Valid
Cash loans,M,N,2,67500.0,540000.0,20925.0,Working,Married,-13740,Valid
Cash loans,M,Y,2,225000.0,157500.0,18688.5,Commercial associate,Married,-12749,Valid
Cash loans,X,Y,1,157500.0,327024.0,12456.0,Pensioner,Civil marriage,-21514,Invalid
Cash loans,F,Y,0,285043.5,360000.0,14661.0,Commercial associate,Married,-9716,Valid
Cash loans,F,N,0,202500.0,5115950.0,22531.5,Working,Married,-11947,Invalid
Cash loans,M,Y,0,157500.0,432841.5,28309.5,Working,Single / not married,-10231,Valid
Cash loans,F,Y,0,157500.0,1078200.0,31653.0,Working,Single / not married,-9237,Valid
Cash loans,F,Y,0,68467137.0,900000.0,72292.5,Commercial associate,Married,-10336,Invalid
Cash loans,M,Y,1,202500.0,396706.5,25353.0,Maternity leave,Married,-11608,Invalid
Cash loans,M,N,0,81000.0,479799.0,23080.5,Maternity leave,Married,-13749,Invalid
Cash loans,M,N,0,65303072.0,225000.0,17775.0,Working,Married,-12099,Invalid
Cash loans,F,Y,0,112500.0,450000.0,27324.0,Working,Married,-19004,Valid
Cash loans,M,N,0,247500.0,518562.0,25078.5,Maternity leave,Married,-13608,Invalid
Cash loans,M,Y,0,202500.0,564124.5,36180.0,Commercial associate,Civil marriage,-9434,Valid
Cash loans,F,N,1,90000.0,358074.0,17356.5,Pensioner,Single / not married,-5627,Invalid
Cash loans,F,Y,0,112500.0,450000.0,30204.0,Working,Single / not married,-19236,Valid
abcd,M,Y,0,121500.0,270000.0,13500.0,Commercial associate,Single / not married,-16866,Invalid
Cash loans,M,Y,2,102546.0,5277059.0,22365.0,Commercial associate,Married,-16974,Invalid
Cash loans,X,Y,1,270000.0,1096020.0,59589.0,Working,Married,-16392,Invalid
Cash loans,F,Y,2,157500.0,1006920.0,40063.5,Working,Married,-15992,Valid
Cash loans,F,Y,0,76973165.0,101880.0,5976.0,Pensioner,Widow,-22234,Invalid
Cash loans,M,Y,0,247500.0,450000.0,29430.0,Maternity leave,Separated,-11379,Invalid
Cash loans,F,Y,0,157500.0,5227957.0,46039.5,Working,Single / not married,-19662,Invalid
Revolving loans,F,N,0,112500.0,450000.0,22500.0,Working,Married,-17881,Valid
Cash loans,F,Y,2,117000.0,269550.0,21294.0,Commercial associate,Civil marriage,-12339,Valid
Cash loans,M,N,0,112500.0,152820.0,16344.0,Working,Single / not married,-11376,Valid
Cash loans,F,N,0,90000.0,868500.0,38385.0,Pensioner,Married,-6117,Invalid
Cash loans,M,Y,0,153000.0,1262583.0,37044.0,Working,Married,-17973,Valid
Cash loans,M,N,0,166500.0,900000.0,26316.0,Maternity leave,Married,-14180,Invalid
Cash loans,F,Y,0,202500.0,799299.0,33993.0,Pensioner,Civil marriage,-20744,Valid
abcd,F,N,0,67500.0,123993.0,5589.0,Pensioner,Single / not married,-23741,Invalid
Cash loans,M,Y,0,301500.0,1129500.0,110164.5,Maternity leave,Married,-12596,Invalid
Cash loans,M,Y,0,135000.0,23270.0,17820.0,Working,Married,-12250,Invalid
Cash loans,F,N,0,130500.0,454500.0,25375.5,State servant,Single / not married,-20802,Valid
Cash loans,M,Y,0,180000.0,518562.0,21969.0,Commercial associate,Married,-15633,Valid
Cash loans,F,Y,0,72000.0,225000.0,12694.5,Pensioner,Married,-24206,Valid
Cash loans,M,Y,1,360000.0,454500.0,17739.0,Working,Married,-19796,Valid
Revolving loans,M,Y,0,351000.0,180000.0,9000.0,Commercial associate,Single / not married,-8045,Valid
Cash loans,F,Y,2,162000.0,360000.0,28570.5,Working,Married,-11805,Valid
Cash loans,M,Y,0,40500.0,74182.5,5292.0,Maternity leave,Widow,-13516,Invalid
Cash loans,F,Y,0,112500.0,115128.0,12397.5,Working,Married,-13183,Valid
abcd,M,Y,2,238500.0,360000.0,18000.0,Working,Married,-15142,Invalid
Cash loans,M,Y,0,225000.0,142632.0,14022.0,Pensioner,Married,-5321,Invalid
Revolving loans,F,Y,2,121500.0,247500.0,12375.0,Pensioner,Married,-6029,Invalid
Cash loans,F,Y,1,180000.0,450000.0,24543.0,Pensioner,Single / not married,-6462,Invalid
abcd,F,Y,0,315000.0,630000.0,31500.0,State servant,Single / not married,-18553,Invalid
Cash loans,M,Y,0,202500.0,576072.0,18216.0,State servant,Single / not married,-12090,Valid
Cash loans,M,Y,0,225000.0,810000.0,39096.0,Working,Married,-13172,Valid
Cash loans,F,Y,1,144000.0,431730.0,45463.5,Pensioner,Married,-4426,Invalid
Cash loans,F,N,0,180000.0,619254.0,23076.0,Pensioner,Widow,-21202,Valid
Cash loans,F,Y,0,1931.0,808650.0,26217.0,Working,Civil marriage,-13702,Invalid
Revolving loans,M,Y,1,202500.0,585000.0,29250.0,Working,Married,-12733,Valid
Cash loans,F,N,0,108000.0,1129500.0,37980.0,Pensioner,Married,-23669,Valid
Cash loans,F,Y,1,3958.0,1089000.0,46269.0,Working,Married,-19240,Invalid
Cash loans,X,Y,1,157500.0,360000.0,18508.5,Working,Married,-15336,Invalid
abcd,F,Y,0,157500.0,1546020.0,42642.0,Pensioner,Married,-20546,Invalid
Cash loans,M,Y,0,135000.0,518562.0,22099.5,Maternity leave,Married,-12559,Invalid
Cash loans,M,Y,0,202500.0,837000.0,42867.0,Working,Single / not married,-16026,Valid
Revolving loans,M,N,2,135000.0,180000.0,9000.0,Maternity leave,Single / not married,-14514,Invalid
Cash loans,X,Y,0,171000.0,953460.0,66487.5,Pensioner,Married,-23029,Invalid
Revolving loans,M,Y,0,315000.0,675000.0,33750.0,Pensioner,Married,-4316,Invalid
Cash loans,F,Y,0,135000.0,1078200.0,31653.0,Working,Single / not married,-16516,Valid
Cash loans,F,N,0,85500.0,753840.0,29340.0,Commercial associate,Single / not married,-17781,Valid
Revolving loans,M,Y,0,180000.0,202500.0,10125.0,Maternity leave,Separated,-11554,Invalid
Cash loans,F,N,0,75650869.0,781920.0,25101.0,Pensioner,Widow,-23220,Invalid
Cash loans,F,Y,0,58500.0,274500.0,13333.5,Pensioner,Widow,-21630,Valid
Cash loans,M,Y,1,270000.0,835605.0,29736.0,Working,Married,-12047,Valid
Cash loans,M,Y,1,157500.0,609498.0,48996.0,Working,Married,-16489,Valid
Cash loans,X,Y,0,261000.0,900000.0,69781.5,Working,Married,-18901,Invalid
abcd,F,N,0,180000.0,983160.0,62964.0,Pensioner,Married,-22134,Invalid
Cash loans,M,N,0,115650.0,145557.0,11560.5,State servant,Single / not married,-10459,Valid
Cash loans,X,Y,0,157500.0,325908.0,17811.0,Working,Single / not married,-13741,Invalid
Cash loans,F,Y,0,117000.0,940500.0,30469.5,Working,Married,-17687,Valid
Cash loans,X,Y,0,135000.0,755190.0,36459.0,Working,Married,-21805,Invalid
Cash loans,M,Y,1,180000.0,646920.0,20997.0,Working,Separated,-15851,Valid
Revolving loans,F,Y,0,80100.0,135000.0,6750.0,Working,Single / not married,-11155,Valid
Revolving loans,F,Y,0,144000.0,427500.0,21375.0,Pensioner,Widow,-5045,Invalid
Cash loans,M,Y,1,90000.0,239850.0,23850.0,Working,Married,-21404,Valid
abcd,F,Y,0,135000.0,473760.0,44293.5,Working,Single / not married,-19388,Invalid
abcd,F,Y,1,112500.0,545040.0,26640.0,Working,Widow,-14199,Invalid
abcd,F,Y,0,247500.0,1125000.0,32895.0,Working,Single / not married,-19813,Invalid
Cash loans,X,Y,2,225000.0,314055.0,16443.0,Commercial associate,Married,-14390,Invalid
Cash loans,F,Y,1,234000.0,5280010.0,35005.5,Commercial associate,Married,-11074,Invalid
abcd,M,Y,2,315000.0,473760.0,51151.5,Working,Married,-12744,Invalid
Cash loans,F,Y,0,157500.0,900000.0,46084.5,Working,Married,-20029,Valid
Cash loans,F,N,1,3164.0,1540588.5,44280.0,Working,Married,-12183,Invalid
Cash loans,M,N,1,180000.0,634360.5,26874.0,Working,Single / not married,-12989,Valid
Cash loans,F,N,2,225000.0,675000.0,69165.0,Working,Married,-10894,Valid
Cash loans,F,Y,0,202500.0,573408.0,25389.0,Pensioner,Married,-22542,Valid
Cash loans,X,Y,0,135000.0,1125000.0,47794.5,State servant,Married,-16963,Invalid
Cash loans,M,Y,0,112500.0,657166.5,27972.0,Maternity leave,Married,-11416,Invalid
Cash loans,M,Y,1,135000.0,862560.0,30690.0,Pensioner,Married,-5443,Invalid
Cash loans,M,Y,0,202500.0,755190.0,32125.5,Pensioner,Single / not married,-4027,Invalid
Cash loans,X,N,0,193500.0,1078200.0,31653.0,Pensioner,Married,-21393,Invalid
Cash loans,M,N,0,324000.0,1984500.0,52479.0,State servant,Married,-15163,Valid
Cash loans,M,Y,0,540000.0,724261.5,39420.0,Commercial associate,Single / not married,-11714,Valid
Cash loans,F,Y,0,157500.0,381528.0,24970.5,Working,Married,-13246,Valid
Cash loans,M,N,1,157500.0,1078200.0,29781.0,Working,Married,-16242,Valid
Cash loans,F,Y,0,71611756.0,760225.5,32206.5,Commercial associate,Widow,-23614,Invalid
Cash loans,F,Y,0,180000.0,422235.0,22234.5,Commercial associate,Civil marriage,-15016,Valid
Cash loans,F,Y,0,225000.0,848745.0,46174.5,Working,Civil marriage,-11766,Valid
Revolving loans,F,Y,0,157500.0,270000.0,13500.0,Commercial associate,Married,-13261,Valid
abcd,M,N,0,157500.0,685012.5,33084.0,Commercial associate,Married,-9018,Invalid
abcd,M,Y,0,90000.0,675000.0,26770.5,Commercial associate,Married,-17516,Invalid
Cash loans,F,N,0,135000.0,1035000.0,30262.5,Commercial associate,Married,-19801,Valid
Cash loans,F,Y,1,135000.0,267070.5,21231.0,Pensioner,Single / not married,-4241,Invalid
Cash loans,M,Y,1,225000.0,5161353.0,27580.5,Working,Married,-12840,Invalid
Revolving loans,F,Y,0,63469637.0,180000.0,9000.0,Commercial associate,Married,-7970,Invalid
Cash loans,F,N,1,81000.0,5219906.0,8545.5,Working,Single / not married,-11217,Invalid
Cash loans,M,Y,0,38250.0,98910.0,7011.0,Maternity leave,Separated,-14236,Invalid
Cash loans,M,N,2,180000.0,495000.0,13185.0,Commercial associate,Married,-15116,Valid
Cash loans,M,N,0,112500.0,381528.0,12316.5,Pensioner,Married,-4889,Invalid
abcd,F,N,1,135000.0,640080.0,20227.5,State servant,Civil marriage,-15825,Invalid
Cash loans,F,Y,0,81000.0,167076.0,15453.0,Working,Married,-17628,Valid
Cash loans,F,Y,0,103500.0,178290.0,17496.0,Pensioner,Widow,-4152,Invalid
abcd,F,N,0,121500.0,237024.0,11403.0,Pensioner,Married,-21033,Invalid
Revolving loans,M,N,0,63000.0,180000.0,9000.0,Maternity leave,Married,-12326,Invalid
Cash loans,F,N,0,72000.0,1303200.0,46809.0,Pensioner,Married,-4078,Invalid
Cash loans,F,Y,0,270000.0,835380.0,40320.0,Commercial associate,Separated,-17787,Valid
Cash loans,F,Y,0,180000.0,634482.0,20596.5,Commercial associate,Separated,-22316,Valid
Cash loans,M,Y,0,243000.0,675000.0,32602.5,Working,Single / not married,-20547,Valid
Cash loans,F,Y,1,85500.0,86598.0,9315.0,Pensioner,Single / not married,-5092,Invalid
Cash loans,F,Y,2,38250.0,544491.0,17694.0,State servant,Married,-12365,Valid
Cash loans,M,Y,0,135000.0,808650.0,23305.5,Pensioner,Married,-23109,Valid
Cash loans,F,N,0,90000.0,755190.0,36328.5,Working,Married,-12270,Valid
Cash loans,F,Y,0,180000.0,894766.5,29700.0,Commercial associate,Married,-22379,Valid
Cash loans,F,N,0,157500.0,20636.0,27324.0,Pensioner,Married,-16611,Invalid
Cash loans,M,N,0,112500.0,808650.0,23643.0,Pensioner,Married,-4017,Invalid
Cash loans,F,Y,2,117000.0,135000.0,9130.5,Working,Separated,-10391,Valid
Cash loans,M,Y,1,90000.0,450000.0,19066.5,Maternity leave,Married,-10963,Invalid
Cash loans,F,Y,0,121500.0,270000.0,26302.5,Working,Married,-14666,Valid
Cash loans,M,Y,1,112500.0,490495.5,29335.5,Pensioner,Married,-5240,Invalid
Cash loans,M,Y,1,202500.0,5104275.0,37800.0,Commercial associate,Married,-11713,Invalid
Cash loans,M,Y,0,157500.0,573943.5,31266.0,Pensioner,Married,-23525,Valid
Cash loans,M,Y,0,90000.0,770913.0,24997.5,Maternity leave,Widow,-13541,Invalid
Cash loans,F,N,2,126000.0,254700.0,24939.0,Pensioner,Civil marriage,-19379,Valid
Cash loans,M,Y,0,405000.0,751500.0,51295.5,State servant,Widow,-20936,Valid
Cash loans,M,Y,2,180000.0,220662.0,23544.0,Working,Married,-11564,Valid
Cash loans,F,Y,0,90000.0,387000.0,19890.0,Working,Separated,-10383,Valid
Cash loans,F,Y,0,1516.0,1089000.0,39244.5,Working,Married,-12536,Invalid
Cash loans,F,Y,0,846.0,540000.0,27702.0,Working,Single / not married,-17843,Invalid
Cash loans,X,Y,0,270000.0,152820.0,16587.0,Working,Single / not married,-17487,Invalid
Cash loans,X,N,0,450000.0,566055.0,16551.0,Pensioner,Married,-20526,Invalid
Cash loans,X,Y,0,135000.0,609898.5,34186.5,Pensioner,Married,-21072,Invalid
Cash loans,F,N,0,135000.0,23081.0,18022.5,Working,Civil marriage,-19501,Invalid
Cash loans,M,N,0,112500.0,367389.0,20061.0,Maternity leave,Married,-14016,Invalid
Cash loans,F,N,0,2732.0,675000.0,34465.5,Working,Married,-13298,Invalid
Cash loans,F,Y,2,2756.0,755190.0,36459.0,Commercial associate,Married,-11006,Invalid
Cash loans,M,Y,0,112500.0,183384.0,18265.5,Maternity leave,Separated,-11473,Invalid
Cash loans,M,Y,0,315000.0,1035000.0,41175.0,Commercial associate,Married,-20390,Valid
Cash loans,F,Y,1,225000.0,1417500.0,93028.5,Working,Married,-10884,Valid
abcd,F,N,2,202500.0,938304.0,31140.0,Working,Married,-12645,Invalid
Cash loans,F,Y,0,202500.0,298512.0,20079.0,Commercial associate,Married,-17341,Valid
abcd,F,Y,0,157500.0,398016.0,26041.5,Working,Single / not married,-15480,Invalid
abcd,F,Y,0,121500.0,835380.0,31950.0,Working,Married,-12671,Invalid
Cash loans,F,Y,0,180000.0,640080.0,29970.0,Working,Married,-16593,Valid
Cash loans,X,Y,5,180000.0,497520.0,53712.0,Commercial associate,Married,-12556,Invalid
Cash loans,F,Y,0,112500.0,276277.5,11835.0,Pensioner,Married,-6276,Invalid
Cash loans,M,N,0,450000.0,900000.0,32017.5,Pensioner,Single / not married,-6532,Invalid
Cash loans,F,N,0,171000.0,755190.0,36328.5,Working,Married,-11586,Valid
Cash loans,F,Y,1,126000.0,1078200.0,31653.0,Working,Married,-15689,Valid
Cash loans,F,Y,0,247500.0,562491.0,22437.0,Pensioner,Civil marriage,-21428,Valid
Cash loans,M,Y,0,157500.0,21310.0,16353.0,Commercial associate,Separated,-15794,Invalid
Cash loans,F,Y,0,153000.0,729396.0,49072.5,Commercial associate,Civil marriage,-16937,Valid
Cash loans,M,Y,0,135000.0,20375.0,18931.5,Commercial associate,Single / not married,-14451,Invalid
Cash loans,F,Y,0,67500.0,5145852.0,4801.5,Pensioner,Married,-22233,Invalid
Cash loans,F,Y,0,112500.0,590337.0,25141.5,Pensioner,Widow,-4700,Invalid
Cash loans,M,Y,0,135000.0,1255680.0,41625.0,Working,Married,-20065,Valid
Cash loans,F,N,1,72000.0,284400.0,9058.5,Working,Married,-11599,Valid
Cash loans,F,N,0,144000.0,916470.0,26928.0,Commercial associate,Married,-13661,Valid
abcd,F,Y,0,270000.0,521280.0,40468.5,Pensioner,Married,-22459,Invalid
Cash loans,X,N,0,112500.0,700830.0,22738.5,Pensioner,Single / not married,-23647,Invalid
abcd,F,N,2,112500.0,260568.0,28192.5,State servant,Married,-9880,Invalid
Cash loans,M,N,0,112500.0,269982.0,32170.5,Working,Married,-10355,Valid
Cash loans,M,Y,0,225000.0,808650.0,29839.5,Pensioner,Separated,-6114,Invalid
Cash loans,X,N,0,315000.0,2265570.0,59764.5,Working,Married,-12937,Invalid
Cash loans,M,N,0,270000.0,888840.0,29506.5,Commercial associate,Single / not married,-17309,Valid
Cash loans,M,Y,2,270000.0,573408.0,23152.5,Commercial associate,Married,-18126,Valid
Cash loans,M,Y,1,180000.0,360000.0,19660.5,Commercial associate,Married,-16413,Valid
Cash loans,M,N,0,3927.0,545040.0,25537.5,Working,Married,-13034,Invalid
Cash loans,F,N,0,831.0,113760.0,5431.5,Working,Married,-9730,Invalid
Revolving loans,M,N,2,270000.0,765000.0,38250.0,Maternity leave,Married,-14344,Invalid
Cash loans,M,Y,0,225000.0,1149210.0,33066.0,Working,Married,-22738,Valid
Cash loans,M,Y,0,1225.0,640080.0,31131.0,Working,Married,-10097,Invalid
Cash loans,F,Y,1,315000.0,403330.5,23283.0,Commercial associate,Married,-14385,Valid
Cash loans,F,Y,0,4421.0,450000.0,35685.0,Working,Married,-10047,Invalid
Revolving loans,M,Y,0,90000.0,21923.0,13500.0,Commercial associate,Civil marriage,-16839,Invalid
Cash loans,M,N,0,247500.0,1575000.0,46183.5,Pensioner,Married,-4746,Invalid
Cash loans,M,N,0,135000.0,551079.0,24403.5,State servant,Single / not married,-15164,Valid
Cash loans,F,Y,0,84987499.0,450000.0,21109.5,Working,Married,-11388,Invalid
Cash loans,F,N,0,180000.0,485640.0,31531.5,Commercial associate,Married,-20277,Valid
Revolving loans,F,N,0,112500.0,180000.0,9000.0,Commercial associate,Single / not married,-9149,Valid
Cash loans,M,Y,1,112500.0,45000.0,3172.5,Working,Civil marriage,-17576,Valid
Cash loans,M,Y,0,135000.0,166500.0,13477.5,Working,Married,-16812,Valid
Cash loans,M,Y,0,112500.0,549000.0,23260.5,Maternity leave,Married,-12114,Invalid
abcd,M,Y,0,103500.0,203760.0,16227.0,Working,Married,-11156,Invalid
Cash loans,F,Y,1,180000.0,463500.0,36621.0,Commercial associate,Married,-11045,Valid
abcd,F,Y,0,166500.0,199008.0,22635.0,Pensioner,Civil marriage,-21640,Invalid
Cash loans,F,Y,1,225000.0,497520.0,53712.0,Working,Married,-11101,Valid
abcd,M,Y,0,351000.0,497520.0,39307.5,State servant,Married,-14091,Invalid
Cash loans,F,Y,0,119250.0,237024.0,15277.5,Pensioner,Married,-20336,Valid
Cash loans,M,Y,0,40500.0,247500.0,10615.5,Pensioner,Married,-23544,Valid
Cash loans,F,Y,0,81000.0,76410.0,7573.5,Pensioner,Married,-20280,Valid
Cash loans,M,Y,0,180000.0,276277.5,21825.0,Working,Separated,-14037,Valid
Revolving loans,F,Y,0,85500.0,180000.0,9000.0,Pensioner,Widow,-22714,Valid
Cash loans,F,N,0,99000.0,312768.0,19989.0,Pensioner,Married,-5629,Invalid
Cash loans,F,N,2,202500.0,675000.0,21906.0,Working,Married,-15779,Valid
Cash loans,F,Y,0,234000.0,1125000.0,37179.0,Pensioner,Married,-22241,Valid
Cash loans,F,Y,0,369000.0,956574.0,42264.0,Pensioner,Married,-21710,Valid
Revolving loans,M,N,0,1035000.0,675000.0,33750.0,Maternity leave,Single / not married,-13650,Invalid
Cash loans,F,Y,0,117000.0,573408.0,32148.0,Working,Single / not married,-12503,Valid
Revolving loans,F,N,1,67500.0,180000.0,9000.0,Working,Married,-11567,Valid
Cash loans,F,Y,0,135000.0,174132.0,17352.0,Working,Single / not married,-14627,Valid
Cash loans,F,Y,0,135000.0,932643.0,27396.0,Working,Married,-22971,Valid
Cash loans,F,N,1,112500.0,5178929.0,10764.0,Commercial associate,Separated,-12132,Invalid
Cash loans,M,Y,0,135000.0,5264159.0,20997.0,Pensioner,Married,-22870,Invalid
Revolving loans,F,Y,2,135000.0,270000.0,13500.0,Working,Married,-16072,Valid
Cash loans,M,Y,1,135000.0,288873.0,22950.0,Pensioner,Married,-5296,Invalid
Cash loans,M,N,2,135000.0,545040.0,26509.5,Pensioner,Married,-6277,Invalid
Cash loans,F,Y,1,1223.0,101880.0,6763.5,Pensioner,Civil marriage,-17565,Invalid
Cash loans,F,Y,0,135000.0,370107.0,16429.5,Pensioner,Widow,-22276,Valid
Cash loans,M,Y,0,96750.0,163008.0,9486.0,Maternity leave,Single / not married,-14592,Invalid
Revolving loans,M,Y,0,180000.0,270000.0,13500.0,Commercial associate,Civil marriage,-16570,Valid
Cash loans,F,Y,0,121500.0,5145927.0,12312.0,State servant,Married,-17424,Invalid
Cash loans,M,Y,1,135000.0,500427.0,27274.5,Working,Married,-14546,Valid
Cash loans,F,N,0,69183843.0,135000.0,6988.5,Pensioner,Widow,-24691,Invalid
Cash loans,X,N,0,157500.0,263686.5,26478.0,Commercial associate,Married,-11141,Invalid
Cash loans,F,Y,0,270000.0,312768.0,24840.0,Working,Married,-16112,Valid
Cash loans,F,N,0,211500.0,567000.0,27274.5,Pensioner,Single / not married,-5237,Invalid
abcd,F,N,0,360000.0,1192500.0,32922.0,Commercial associate,Civil marriage,-19804,Invalid
Cash loans,F,N,1,81000.0,450000.0,22018.5,Pensioner,Married,-4531,Invalid
